	target_text	input_text	prefix
10510	Where did the NSC go after they were done with their trip?	[Event Ordering] One result was two NSC-led interagency trips to Persian Gulf states in 1999 and 2000.	ask_question
6483	How often did problems arise?	[Frequency] Boston Center TMU [Traffic Management Unit], we have a problem here.	ask_question
6468	How long had the problem been occuring?	[Event Duration] Boston Center TMU [Traffic Management Unit], we have a problem here.	ask_question
11324	When did Clinton arrive in Pakistan?	[Typical Time] But President Clinton insisted on including Pakistan in the itinerary for his trip to South Asia.	ask_question
5222	How many times did World War I happen?	[Frequency] Schools were scarce between World War I and World War II.	ask_question
11927	When did she graduate college?	[Typical Time] When I was in college, I thought I wanted to be a doctor, she said.	ask_question
4970	Is the investigation still going to be going on 50 years from now?	[Stationarity] Our investigation has uncovered no credible evidence that any person in the United States gave the hijackers substantial financial assistance.	ask_question
1965	What happened before his colleagues got angry?	[Event Ordering] Upsetting many of his colleagues and contemporaries in France, the book brought about the final split with Sartre.	ask_question
6329	How did Arthur become angry in the first place?	"[Event Ordering] No, of course not… I–  ""Then why,"" Arthur barreled on, ""do you disregard them all and return to this superstitious babble, this morbid, paganistic drivel?"	ask_question
9976	How long did it take for Pushkin to commit to social reform?	[Event Duration] Pushkin gradually became committed to social reform and emerged as a spokesman for literary radicals.	ask_question
3044	How many interviews did Camus do during his career?	"[Frequency] In a 1945 interview, Camus rejected any ideological associations: ""No, I am not an existentialist."	ask_question
9468	What day did Islam emerge as the majority religion?	[Typical Time] Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained.	ask_question
915	How long did he jump on the sidewalk?	[Event Duration] and jumped up and down on the side walk trying to get him to see them.	ask_question
7684	How often does the factory make chips?	[Frequency] The factory is highly automated and designed to shift flexibly to produce many different kinds of chips to suit demand.	ask_question
10824	How often did the board members meet?	[Frequency] A. DeConcini Federal Courthouse, 405 W. Congress St. Deconcini was one of the organization's early board members.	ask_question
7682	How often does the factory make chips?	[Frequency] The factory is highly automated and designed to shift flexibly to produce many different kinds of chips to suit demand.	ask_question
7444	How long did it take to construct Lake Mead?	[Event Duration] Not only did it create jobs, but it also created Lake Mead, the massive reservoir that today provides water to all of southern Nevada.	ask_question
3650	How long did the effects of Alexanders death last?	[Event Duration] Alexander II's death caused a great setback for the reform movement.	ask_question
85	How often does Arthur talk to Allan?	[Frequency] He spoke the last word with such heavy intonation that Allan shrank back before the physical wave of sound emanating from Arthur's throat.	ask_question
4270	When did the fighting start?	[Typical Time] The fort of Massaga was reduced only after days of bloody fighting, in which Alexander was wounded seriously in the ankle.	ask_question
3106	How often can people expect to have justice?	"[Frequency] We may promise ""justice for all,"" but for those who can't afford a lawyer, that promise is often a lie."	ask_question
1071	How long were Zarco and Teixeira co-governors?	[Event Duration] Zarco and Teixeira were appointed co-go­vern­ors of Madeira, while Perestrelo was awarded Porto Santo.	ask_question
9380	What happened after it was introduced?	[Event Ordering] Christianity was introduced into Gaul in the first century a.d.	ask_question
13093	How many times did she throw the ball at the surface?	[Frequency] The angle at which it strikes the surface tells us how it will bounce off.	ask_question
3311	How long did it take to form the new committee?	[Event Duration] In this way the other major congressional interests can be brought together in the new committee's work.	ask_question
4943	What happened after the NMCC learned of United 93?	[Event Ordering] The NMCC learned about United 93 from the White House.	ask_question
6110	What happened before the alliance took place?	"[Event Ordering] At Corinth, Philip established a ""Hellenic Alliance"" (modeled on the old anti-Persian alliance of the Greco-Persian Wars), which included most Greek city-states except Sparta."	ask_question
7673	How long did she go to school?	[Event Duration] She had gotten out of her last day of school and was free for the summer.	ask_question
10395	When did Emiliano Malaquez finish his sculpture?	"[Typical Time] Search ""Emiliano Malaquez"" and you'll find he's a master of the ""captured moment"" school of sculpture."	ask_question
5242	What happened after it began?	[Event Ordering] Logs indicate that it began at 9:25 and included the CIA; the FBI; the departments of State, Justice, and Defense; the FAA; and the White House shelter.	ask_question
8258	What happened before the fossils were found?	[Event Ordering] These fossils showed that this entire area was once at the bottom of a sea.	ask_question
2671	How long did he pretend he was his father?	[Event Duration] Then, he pretended he was his father and pretended that he was driving the tractor.	ask_question
8292	What day is the courthouse video tour held?	[Typical Time] The program avoids legal jargon, offers a courthouse video tour and sticks to a fifth-grade vocabulary.	ask_question
5112	How long did it take for scientists to recognize atoms?	[Event Duration] So what do we call a substance that has only a single type of atom?	ask_question
8309	When did Spear and the great man meet?	[Typical Time] At the sight of the great man, Spear flushed crimson, and then his look of despair slowly disappeared; and into his eyes there came incredulously hope and gratitude.	ask_question
10247	How long did it take Pushkin to graduate from Tsarskoye Selo Lyceum?	[Event Duration] Pushkin published his first poem at the age of fifteen, and was widely recognized by the literary establishment by the time of his graduation from the Tsarskoye Selo Lyceum.	ask_question
5103	Does Einstein still support Louis' work?	[Stationarity] Einstein discovered Louis de Broglie's work, and supported his ideas, which were received skeptically at first.	ask_question
7029	What year was Khallad arrested?	[Typical Time] Khallad helped in Yemen until he was arrested in a case of mistaken identity and freed with  Bin Laden's help, as we also mentioned earlier.	ask_question
7831	When did Kevin arrive at the airport?	[Typical Time] One day, Kevin traveled from his home in the United States of America to Erin's house in England.	ask_question
10870	Were the laws ridiculed prior to the new administration?	[Stationarity] While these laws were met with skepticism and ridicule, they've often become standard practice in other states.	ask_question
1778	When did the red ball roll to the blue ball?	[Typical Time] The cute red ball rolled over to the blue ball and said hello.	ask_question
12560	What does the women and children do once they have immediate legal assistance services ?	[Event Ordering] Often times women are in need of immediate legal assistance services for the protection of the mother and the child.	ask_question
4553	How often does Secretary Hamilton go to work?	"[Frequency] Its impetus was that Treasury Secretary Hamilton ""secured the nation's financial future and made it possible for her own family to make its fortune in grain elevators and banking."	ask_question
12650	How often to migrant worker receive help?	[Frequency] They also operate a legal arm that assists migrant workers from Texas to Kentucky.	ask_question
3133	Will you be building a campfire next week?	[Stationarity] If you build a campfire, you start with a large stack of sticks and logs.	ask_question
4680	How long did it take to legitimize gambling?	[Event Duration] The legitimization of gambling led to its increased legalization across the US.	ask_question
4896	How often is the contest held?	[Frequency] All Ana had to do was spell this last word and she would be the winner.	ask_question
3360	Is the health initiative been passed as of today?	[Stationarity] The state has been first to pass major public health initiatives that have spread throughout the country.	ask_question
729	When did Einstein befriend the authors?	[Typical Time] This aversion to war also led Einstein to befriend author Upton Sinclair and film star Charlie Chaplin, both noted for their pacifism.	ask_question
2067	How long did it take for fossils to be made?	[Event Duration] The fossils that are very distinct at certain times of Earths history are called index fossils.	ask_question
11434	What time did the meeting occur?	"[Typical Time] President Clinton told us that when he pulled Musharraf aside for a brief, one-on-one meeting, he pleaded with the general for help regarding  Bin Laden."""	ask_question
7443	How long did it take to construct Lake Mead?	[Event Duration] Not only did it create jobs, but it also created Lake Mead, the massive reservoir that today provides water to all of southern Nevada.	ask_question
2115	How long had Callimaco pursued Lucrezia?	[Event Duration] After finally sleeping with Lucrezia , Callimaco confesses everything .	ask_question
12841	What happened after the operatives were chosen?	[Event Ordering] The two suicide operatives chosen were Hassan al Khamri and Ibrahim al Thawar, also known as Nibras.	ask_question
6055	How often do electronic thefts occur in a company?	[Frequency] Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage.	ask_question
10625	How long did it take the mindwipe to take its creation?	[Event Duration] The mindwipe will take its creation from my future self --but time too often does that without aid.	ask_question
12524	How long did it take for Muslims to take up arms?	[Event Duration] All Muslims-as he defined them-therefore must take up arms in this fight.	ask_question
5762	How often did he go to Khowst during the journey?	[Frequency] He ordered the evacuation of al Qaeda's Kandahar airport compound and fled- first to the desert area near Kabul, then to Khowst and Jalalabad, and eventually back to Kandahar.	ask_question
10060	How often do they evolve	[Frequency] Whatever their origins, their culture evolved under the pressure and influence of foreign forces.	ask_question
7677	How long did she go to school?	[Event Duration] She had gotten out of her last day of school and was free for the summer.	ask_question
10840	How often does the music play in the film?	[Frequency] The music , in a garage punk vein , plays an important role in the film .	ask_question
2193	What did Juzo do after finding out his boss is Toru Akai?	[Event Ordering] To his quiet dismay , his supervising boss turns out to be Toru Akai , who with his gang had made Juzo's middle school life a living hell .	ask_question
8837	When did they gain a general idea of how al Qaeda  was financing itself?	[Typical Time] The origin of the funds remains unknown, although we have a general idea of how al Qaeda financed itself during the period leading up to 9/11.	ask_question
8680	How long did the chairman speak?	"[Event Duration] Ratners's chairman, Gerald Ratner, said the deal remains of ""substantial benefit to Ratners."""	ask_question
629	What time did the planes crash into the World Trade Center?	[Typical Time] After the second World Trade Center crash, Boston Center managers recognized that both aircraft were transcontinental 767 jetliners that had departed Logan Airport.	ask_question
10537	How long will they be doing that?	"[Event Duration] So really, that's what many of the people are doing now,"" he said."	ask_question
12197	How many years did it take for Mark to become a judge?	[Event Duration] Growing up on a farm near St. Paul, L. Mark Bailey didn't dream of becoming a judge.	ask_question
12083	When did the hearing begin?	[Typical Time] Ruling that the order was mutually binding, Judge Thornton also cited the men for contempt.	ask_question
7268	How long are his shifts as a defense attorney?	[Event Duration] When he's not working for a Washington defense attorney, Lucas recovers stolen property for a 40% cut.	ask_question
12143	When do they play games?	[Typical Time] Other times, they play a game with Quack where they wave at Quack and laugh.	ask_question
3612	How long did it take for the prints to sell?	"[Event Duration] At Christie's, a folio of 21 prints from Alfred Stieglitz's ""Equivalents"" series sold for $396,000, a single-lot record."	ask_question
12026	If you take a breath will you have to continue breathing to live?	[Stationarity] When you inhale, air enters the respiratory system through your nose and ends up in your lungs, where gas exchange with the blood takes place.	ask_question
76	What day did Martha decide to take extra care?	[Typical Time] So from now on, Marsha takes extra special care to make sure Joey is safe and sound at all times.	ask_question
9171	Does John Kelly still follow this strategy?	[Stationarity] The core of our strategy is to lead in technology and attack the high-performance segments of the market, said John Kelly, senior vice president in charge of IBM's technology group.	ask_question
2464	How long  was the drive?	[Event Duration] They packed up the car and drove to the library, ready for a fun morning.	ask_question
8801	How long has Mintie been making money?	[Event Duration] Mintie, her colleagues say, could have made a lot of money in private practice.	ask_question
5554	How long did he live with Henry?	[Event Duration] He'd seen a dog before, every cat has, and he used to live with a black dog named Henry, but he'd never seen a brown one before.	ask_question
10150	How often does the WHO find out facts about the population?	[Frequency] In 1996 the WHO found that much of the population existed in a state of ``semi-starvation.''	ask_question
12796	Are the 9/11 plotters planning an attack?	[Stationarity] The 9/11 plotters eventually spent somewhere between $400,000 and $500,000 to plan and conduct their attack.	ask_question
2930	For how long did someone study matter before deriving this conclusion?	[Event Duration] Because the same amount of matter still exists, we can say that matter is conserved.	ask_question
1012	How often does he bark at ducks?	[Frequency] He ran all around the pond, barking at the ducks.	ask_question
5045	Did Parameswara still have the offer the next day?	[Stationarity] They made Parameswara an offer he could not refuse: port facilities and an annual financial tribute in exchange for Chinese protection against the marauding Thais.	ask_question
1795	"How long did it take to make ""The Muppets"" movie?"	"[Event Duration] But in between quippy posters and ads for the film, which is a sequel to 2011's blockbuster ""The Muppets"" with Jason Segel, there are ingenious ""selfies"" from the Muppets crew."	ask_question
11168	"How long it take John to read the word ""breathe""?"	[Event Duration] John finds a letter addressed to him , with the word `` Breathe '' written on it .	ask_question
1351	When did electronic espionage start?	[Typical Time] Even though electronic espionage may cost U.S. firms billions of dollars a year, most aren't yet taking precautions, the experts said.	ask_question
1128	How often was he born?	[Frequency] Estimates of his date of birth vary by well over a century.	ask_question
6564	At what time of the day is an engine burning gasoline?	[Typical Time] When our cars burn gasoline in their engines, it is converted into motion and heat.	ask_question
3944	How often are puppies adopted at the dog pound?	[Frequency] All the puppies at the dog pound need a loving home.	ask_question
8012	How often did 20th century Japan experience conflicts?	[Frequency] Triumph and Disaster: The 20th century saw a stupendous release of energies that had been pent up for the 250 years of Tokugawa isolation.	ask_question
2198	How long did he breathe in the air from the shoes?	[Event Duration] Bringing my face close to the shoes, I breathed deeply of air that my parents had trapped while closing up that symbol of their love for me.	ask_question
684	What happened to allow them to seek help?	[Event Ordering] Domestic violence survivors in Jackson, Vicksburg, Hattiesburg, Oxford and Pascagoula can all get help.	ask_question
12773	What happened after the 9/11 plotters planned the attack?	[Event Ordering] The 9/11 plotters eventually spent somewhere between $400,000 and $500,000 to plan and conduct their attack.	ask_question
2049	When were the fossils found?	[Typical Time] The fossils that are very distinct at certain times of Earths history are called index fossils.	ask_question
211	What happens after she renews her acquaintance with Tom?	[Event Ordering] She renews in Ranchipur an acquaintance with a former lover , Tom Ransome , now a dissolute alcoholic .	ask_question
3866	How often do the friends hang out?	[Frequency] The two become close friends but do not reveal the secrets .	ask_question
9004	When did the fiction of Japanese imperial power take root?	[Typical Time] The fiction of Japanese imperial power had become infinitely extendable.	ask_question
10429	"Will Emiliano Malaquez always be a master of ""captured moment"" sculpture?"	"[Stationarity] Search ""Emiliano Malaquez"" and you'll find he's a master of the ""captured moment"" school of sculpture."	ask_question
775	How long did it take for Diggler to become a model?	[Event Duration] Diggler became a prominent model and began appearing in pornographic films , after Which his career took off .	ask_question
5416	When does Ransome start to look after her?	[Typical Time] Ransome looks after her as well as for young Fern Simon , who has declared her love for him .	ask_question
1058	How often are there co-governors appointed?	[Frequency] Zarco and Teixeira were appointed co-go­vern­ors of Madeira, while Perestrelo was awarded Porto Santo.	ask_question
10881	How often do the laws become standard practice in a state?	[Frequency] While these laws were met with skepticism and ridicule, they've often become standard practice in other states.	ask_question
12076	How often does Judge Thornton issue rulings?	[Frequency] Ruling that the order was mutually binding, Judge Thornton also cited the men for contempt.	ask_question
4551	How often does Secretary Hamilton go to work?	"[Frequency] Its impetus was that Treasury Secretary Hamilton ""secured the nation's financial future and made it possible for her own family to make its fortune in grain elevators and banking."	ask_question
8436	At what time of the day was American 11 heading south?	[Typical Time] The report of American 11 heading south was the first; Delta 1989 was the second.	ask_question
8156	When did it become his favorite game	[Typical Time] Every Saturday we would go to the park and play Toodles' favorite game.	ask_question
6297	How many days a week do the casino operators go to work?	[Frequency] Casino operators had to reassess the nature of their business.	ask_question
1983	When was the book published?	[Typical Time] Upsetting many of his colleagues and contemporaries in France, the book brought about the final split with Sartre.	ask_question
6472	How long had the problem been occuring?	[Event Duration] Boston Center TMU [Traffic Management Unit], we have a problem here.	ask_question
4824	What happened before the Serbian beat Tsonga?	[Event Ordering] The Serbian, who beat Tsonga in the 2008 Australian Open final, ended the dream run of Australian 18-year-old Bernard Tomic.	ask_question
8497	When did they position themselves?	[Typical Time] They need only position themselves near a company's satellite dish and wait.	ask_question
6089	Will Jud believe in Christ tomorrow?	[Stationarity] Jud replies , `` Christ on His throne , no. .	ask_question
4412	How often were pseudotensors criticized?	[Frequency] The use of non-covariant objects like pseudotensors was heavily criticized in 1917 by Erwin Schrodinger and others.	ask_question
5715	How long will Seth be imprisoned for?	[Event Duration] Convicted murderer Seth Baxter awakens chained to a table beneath a pendulum blade .	ask_question
4651	How long has the research and development been going on?	[Event Duration] It is spending more than $500 million a year on semiconductor research and development.	ask_question
11694	When did Brewer talk?	[Typical Time] The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said.	ask_question
10704	How long did it take for the levee to raise sediments	[Event Duration] A levee is a raised strip of sediments deposited close to the waters edge.	ask_question
10219	At what age did Pushkin graduate from Tsarskoye Selo Lyceum?	[Typical Time] Pushkin published his first poem at the age of fifteen, and was widely recognized by the literary establishment by the time of his graduation from the Tsarskoye Selo Lyceum.	ask_question
1741	How long do the appearances last?	[Event Duration] The leaders of the Department of Homeland Security now appear before 88 committees and subcommittees of Congress.	ask_question
13113	How often are the big Norman posters requested?	[Frequency] There are many haras (breeding stables) in the neighbourhood, and the big Norman posters are much in demand.	ask_question
7763	How long did the movie last?	[Event Duration] The movie then jumps to 1967 , after Brian Epstein has died .	ask_question
4707	How often does NORAD monitor flights?	[Frequency] But another aircraft was heading toward Washington, an aircraft about which NORAD had heard nothing: United 93.	ask_question
12106	What time of day did the organization have a meeting?	[Typical Time] Although disruption efforts around the world had achieved some successes, the core of  Bin Laden's organization remained intact.	ask_question
11900	What will she do after she plants the seedlings in her garden?	[Event Ordering] When everything was ready, she removed the seedlings from their trays and planted them in her garden.	ask_question
10667	What happened after the Soviet national shipping company found out they'd been excluded?	[Event Ordering] Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid.	ask_question
1747	When did the appearances begin?	[Typical Time] The leaders of the Department of Homeland Security now appear before 88 committees and subcommittees of Congress.	ask_question
1169	What time did Milton get married?	[Typical Time] Spontini, one of whose best operas was based on the life of that much mis-married enthusiast for divorce, John Milton, took to wife a member of the Erard family.	ask_question
8087	When does he usually have his breakfast?	[Typical Time] During breakfast one morning, he seemed lost in thought and ignored his food.	ask_question
9855	How long did they know the plane had been hijacked?	"[Event Duration] At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes."""	ask_question
10206	How long did it take to become standard?	[Event Duration] This approach has been echoed by Lev Landau and Evgeny Lifshitz, and others, and has become standard.	ask_question
5895	How long were they taking photos?	[Event Duration] they were heard saying when the photo was taken -- while Rowlf is clearly a selfie king.	ask_question
13089	How many times did she throw the ball at the surface?	[Frequency] The angle at which it strikes the surface tells us how it will bounce off.	ask_question
679	How long will the help be offered?	[Event Duration] Domestic violence survivors in Jackson, Vicksburg, Hattiesburg, Oxford and Pascagoula can all get help.	ask_question
12871	How often are Banksy exhibitions held?	[Frequency] The exhibition's range, while very varied, remained true to Banksy form with his usual unconventional take on art.	ask_question
10269	How long did it take Cathy Wallace to grow up?	[Event Duration] Cathy Wallace did not always know what she wanted to be when she grew up.	ask_question
7608	How often was he gone during the week?	[Frequency] Danny begins spending less and less time at home with his wife and children .	ask_question
7482	How often does he look for a new position?	[Frequency] He has not told his wife that he was fired and is simply serving out his tenure at the agency while looking for a new position .	ask_question
9477	How long was the storm?	[Event Duration] It's hail crackled across the comm, and Tara spun to retake her seat at the helm.	ask_question
6273	How long did the award ceremony last?	[Event Duration] The award was voted on and presented by the women's caucus of West Virginia University College of Law.	ask_question
6748	What happens now that you've seen it	[Event Ordering] Once we arrive, the castle looked much bigger than we had imagined.	ask_question
4305	How often do God and Satan struggle?	[Frequency] Third, no middle ground exists in what Qutb conceived as a struggle between God and Satan.	ask_question
8416	How long did they stay in China?	[Event Duration] Later in the month, they traveled to China by train and were allowed to see how different life was over there.	ask_question
7052	What year did the Shang Dynasty begin?	[Typical Time] The Shang Dynasty gave rise to the concept of one Chinese nation under one government.	ask_question
9553	How long did the tour last?	[Event Duration] Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin.	ask_question
8718	What time did Khallad leave for his trip?	[Typical Time] Nibras and Quso delivered money to Khallad in Bangkok during Khallad's January 2000 trip to Kuala Lumpur and Bangkok.	ask_question
3289	How often do  magnets place a force on certain materials	[Frequency] Magnets are able to place a force on certain materials.	ask_question
3906	How often did they judge the merits of objects?	[Frequency] Princes and princesses judged the merits of birds, insects, flowers, roots, or seashells.	ask_question
998	When did Lgurio inform Callimaco?	[Typical Time] Lgurio informs Callimaco that Nicia and Lucrezia are anxious to have a child .	ask_question
10912	How long was Hall in office?	[Event Duration] They also argued that Hall's litigious style hampered their ability to garner funds from Congress.	ask_question
1474	How often does Powell travel to other countries to meet their leaders?	[Frequency] In Malaysia, Powell met with Prime Minister Mahathir Mohamad, who has led the country since 1981.	ask_question
1056	How often are there co-governors appointed?	[Frequency] Zarco and Teixeira were appointed co-go­vern­ors of Madeira, while Perestrelo was awarded Porto Santo.	ask_question
8833	How often did al Qaeda receive funds from unknown sources?	[Frequency] The origin of the funds remains unknown, although we have a general idea of how al Qaeda financed itself during the period leading up to 9/11.	ask_question
9423	Did the Rolland case initiate before the interview?	"[Event Ordering] Concerning the Georgetown Hoya interview where Heston was asked about Rolland, you write: ""There is no indication that [Heston] recognized Kayla Rolland's case."""	ask_question
8377	How long will Schahzenan's army take to reach the city?	[Event Duration] However , by the time Schahzenan's army reaches the city , Scheherazade's plan has worked .	ask_question
12581	How long did it take him to look at Violet?	[Event Duration] In this case he looks to his girlfriend , Violet .	ask_question
2329	When did they stop offering $13.65 a share?	[Typical Time] Previously, it offered $13.65 a share in cash, or $29 million.	ask_question
2878	How long does the author take differentiating between dominance and colonization?	[Event Duration] In particular, the author differentiates between what he terms 'dominance' and a particular version of 'colonization'.	ask_question
5442	How long did it take to complete the house?	"[Event Duration] He named the house, which was completed in 1802, the ""Grange"" after his grandfather Alexander's estate in Ayrshire, Scotland."	ask_question
5987	How often would Taj Jackson have a birthday party?	"[Frequency] Taj Jackson told the magazine: ""My mom made sure that we had a real childhood, with birthday parties, baseball, family outings, all that stuff."""	ask_question
11342	How long does it take for them to answer?	[Event Duration] On Fridays, Billy answers in a loud voice and Sally in a quiet voice.	ask_question
11998	When did the shelter receive the information?	[Typical Time] Eventually, the shelter received word that the alleged hijacker 5 miles away had been a medevac helicopter.	ask_question
2120	How long had Callimaco pursued Lucrezia?	[Event Duration] After finally sleeping with Lucrezia , Callimaco confesses everything .	ask_question
10902	How often are funds garnered from Congress?	[Frequency] They also argued that Hall's litigious style hampered their ability to garner funds from Congress.	ask_question
2844	How long was Max playing with the squirrel?	[Event Duration] When Mary called Max's name he left the squirrel and happily returned to Mary, wagging his tail as he went.	ask_question
12523	How long did it take for Muslims to take up arms?	[Event Duration] All Muslims-as he defined them-therefore must take up arms in this fight.	ask_question
4413	When did Schrodinger become aware of pseudotensors?	[Typical Time] The use of non-covariant objects like pseudotensors was heavily criticized in 1917 by Erwin Schrodinger and others.	ask_question
11126	How often did they come?	[Frequency] Hitherward they came, Meeting our faces from the middle point, With us beyond but with a larger stride.	ask_question
3183	When did Meridian National Corp. sell its shares?	[Typical Time] Meridian National Corp. said it sold 750,000 shares of its common stock to the McAlpine family interests, for $1 million, or $1.35 a share.	ask_question
864	At what time of the day was manufacturing occurring?	[Typical Time] By 1930 raw-material production had tripled the figure of 1900, manufactured goods had increased twelve-fold, and heavy industry was galloping towards maturity.	ask_question
