context,question,category,answer
Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.,What happens after she is at work?,Event Ordering, she gets paid
Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.,Is she still at Deidre's beauty salon?,Stationarity, no
Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.,How long does the exam last?,Frequency, 4 hours
Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.,How long does the exam last?,Event Duration, 4 hours
Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.,When did the exam begin?,Typical Time, 10:00 AM
Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.,What happens after the exam?,Event Ordering, she gets her results
Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.,Is Gloria still preparing for the exam tomorrow?,Stationarity, no
Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice.,How often does May seek help?,Frequency, once a year
Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice.,How long will it take to call her friend?,Event Duration, 10 minutes
Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice.,When did May call her friend?,Typical Time, 1:00 PM
Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice.,What happens after they are concerned with depression?,Event Ordering, they get help
Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice.,Is May still concerned with depression after the advice is given?,Stationarity, no
Mark lied to Anne about his age. Mark is 40.,How many times a week does Mark lie to Anne?,Frequency, once
Mark lied to Anne about his age. Mark is 40.,How long did it take to lie to Anne?,Event Duration, 1 minute
Mark lied to Anne about his age. Mark is 40.,When did Mark lied to Anne?,Typical Time, 1990
Mark lied to Anne about his age. Mark is 40.,What did Anne do after he lied?,Event Ordering, she went to the police station
"Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it.",How often does Wharton buy a paper shredder?,Frequency, once
"Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it.",How long does it take to buy the shredder?,Event Duration, 10 minutes
"Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it.",When did Wharton buy the shredder?,Typical Time, 1:00 PM
"Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it.",What happens after Wharton wants the shredder?,Event Ordering, he buys it
"Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it.",Is Wharton still buying the shredder after the birthday?,Stationarity, no
"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy.",How often does Kelly make a sculpture?,Frequency, every week
"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy.",How long has Kelly been scared of sculptures?,Event Duration, 10 years
"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy.",When did she find the sculptures?,Typical Time, 1990
"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy.",What happens after the figure is found to be a scuffling figure?,Event Ordering, the figure is taken to a museum
Selah called a person that did not pick up.,How often does Selah call someone?,Frequency, every day
Selah called a person that did not pick up.,How long did Selah call the person?,Event Duration, 10 minutes
Selah called a person that did not pick up.,When did Selah call the person?,Typical Time, 12:00 PM
Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.,How often do they get new clients?,Frequency, every week
Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.,When did they get the request?,Typical Time, 12:00 PM
Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.,What did they do after the request?,Event Ordering, they went to work
Emma is about to take a nap in the back of the bus to New York. Ben and Emma will be there around 4.30 pm. Ben will wake Emma up 15 minutes prior to their arrival.,How many times a week does Emma take a nap?,Frequency, once
Emma is about to take a nap in the back of the bus to New York. Ben and Emma will be there around 4.30 pm. Ben will wake Emma up 15 minutes prior to their arrival.,How long will the nap in the back of the bus take?,Event Duration, 1 hour
Emma is about to take a nap in the back of the bus to New York. Ben and Emma will be there around 4.30 pm. Ben will wake Emma up 15 minutes prior to their arrival.,When will they be waking up?,Typical Time, 12:00 PM
Emma is about to take a nap in the back of the bus to New York. Ben and Emma will be there around 4.30 pm. Ben will wake Emma up 15 minutes prior to their arrival.,What time of day will they be at the bus stop?,Event Ordering, 12:00 PM
"Jesse, Melvin, Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge, which helps women and children who escape from abuse.",How often do they escape from abuse?,Frequency, once
"Jesse, Melvin, Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge, which helps women and children who escape from abuse.",How long will the charity action last?,Event Duration, 2 hours
"Jesse, Melvin, Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge, which helps women and children who escape from abuse.",When did they take part in the charity action?,Typical Time, 12:00 PM
"Jesse, Melvin, Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge, which helps women and children who escape from abuse.",What happens after they take part in the Christmas charity action?,Event Ordering, they feel good
Mary ran out of money. Carter is going to lend her some in an hour.,How many times a week does Mary get money?,Frequency, once
Mary ran out of money. Carter is going to lend her some in an hour.,How long did Mary run out of money?,Event Duration, 2 weeks
Mary ran out of money. Carter is going to lend her some in an hour.,When did Mary get money?,Typical Time, 12:00 PM
Mary ran out of money. Carter is going to lend her some in an hour.,What happened after Mary ran out of money?,Event Ordering, she borrowed money
Mary ran out of money. Carter is going to lend her some in an hour.,Is Mary still running out money after the money is lent to her?,Stationarity, no
"Paula helped Charlotte with correct pronunciation of ""Natal lily"".",How many times a week does Paula help someone?,Frequency, once
"Paula helped Charlotte with correct pronunciation of ""Natal lily"".","How long did it take to correct pronunciation of ""Natal lily""?",Event Duration, 10 minutes
"Paula helped Charlotte with correct pronunciation of ""Natal lily"".",When did Paula help her?,Typical Time, 12:00 PM
"Paula helped Charlotte with correct pronunciation of ""Natal lily"".",What did Paula do after helping Charlotte?,Event Ordering, she went home
Jack and May will drink cocktails later.,How often do they drink cocktails?,Frequency, once a week
Jack and May will drink cocktails later.,How long will the cocktails last?,Event Duration, 1 hour
Jack and May will drink cocktails later.,When will they drink the cocktails?,Typical Time, 7:00 PM
Jack and May will drink cocktails later.,What will they do after drinking cocktails?,Event Ordering, go home
Jack and May will drink cocktails later.,Will they still be drinking cocktails after the cocktail hour?,Stationarity, no
Margaret is suffering from a terrible headache and wants Jack to buy her some painkillers.,How often does Margaret need painkillers?,Frequency, every few months
Margaret is suffering from a terrible headache and wants Jack to buy her some painkillers.,How long does Margaret have a headache?,Event Duration, 2 days
Margaret is suffering from a terrible headache and wants Jack to buy her some painkillers.,When did Margaret buy the painkillers?,Typical Time, 1:00 PM
Margaret is suffering from a terrible headache and wants Jack to buy her some painkillers.,What happens after she is suffering from a terrible headache?,Event Ordering, she buys painkillers
Margaret is suffering from a terrible headache and wants Jack to buy her some painkillers.,Is Margaret still suffering from a terrible headache tomorrow?,Stationarity, no
Serge is on his way to pick up the film equipment for the shooting tonight. Andrei and Serge are late with a large payment to the company. Serge and Andrei will try to use the credit card to pay the company.,How often will they be late for the shooting?,Frequency, once
Serge is on his way to pick up the film equipment for the shooting tonight. Andrei and Serge are late with a large payment to the company. Serge and Andrei will try to use the credit card to pay the company.,How long will the shooting be?,Event Duration, 12 hours
Serge is on his way to pick up the film equipment for the shooting tonight. Andrei and Serge are late with a large payment to the company. Serge and Andrei will try to use the credit card to pay the company.,What will they do after the shooting?,Event Ordering, go home
Martina advises against getting a hamster.,How often does Martina get hamsters?,Frequency, once
Martina advises against getting a hamster.,How long does Martina advise against getting hamsters?,Event Duration, 10 minutes
Martina advises against getting a hamster.,When did Martina get hamsters?,Typical Time, 1990
Martina advises against getting a hamster.,What happens after Martina gets hamsters?,Event Ordering, she takes care of them
Mary has played DA Inquisition. Lucas has played DA II. Daniel started playing DA Inquisition.,How many times a week does Mary play DA Inquisition?,Frequency, once
Mary has played DA Inquisition. Lucas has played DA II. Daniel started playing DA Inquisition.,How long has Mary played DA Inquisition?,Event Duration, 1 year
Mary has played DA Inquisition. Lucas has played DA II. Daniel started playing DA Inquisition.,When did Mary start playing DA Inquisition?,Typical Time, 10:00 AM
Mary has played DA Inquisition. Lucas has played DA II. Daniel started playing DA Inquisition.,What happened after DA Inquisition was played?,Event Ordering, they had fun
Judy thinks she's always attracted to bad guys.,How often does Judy think about bad guys?,Frequency, every day
Judy thinks she's always attracted to bad guys.,How long does she like bad guys?,Event Duration, for a long time
Judy thinks she's always attracted to bad guys.,When did she start to attract bad guys?,Typical Time, when she was 18
Judy thinks she's always attracted to bad guys.,What happens after she's attracted to bad guys?,Event Ordering, she gets hurt
Riley and James watch Chloe on tv undergoing a metamorphosis.,How often do they watch Chloe on tv?,Frequency, every night
Riley and James watch Chloe on tv undergoing a metamorphosis.,How long does it take to watch Chloe on tv?,Event Duration, 1 hour
Riley and James watch Chloe on tv undergoing a metamorphosis.,When did they watch Chloe on tv?,Typical Time, 10:00 PM
Riley and James watch Chloe on tv undergoing a metamorphosis.,What happens after they watch Chloe on tv?,Event Ordering, they go to sleep
Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,How many times a week does Ala go to meetings?,Frequency, once
Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,How long will the flight take?,Event Duration, 2 hours
Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,What did Ala do after the meeting?,Event Ordering, she went home
Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,Is Ala still at the airport?,Stationarity, no
"Sebastian is very happy with his life, and shares this happiness with Kevin.",How many times a week does Sebastian share his happiness?,Frequency, once
"Sebastian is very happy with his life, and shares this happiness with Kevin.",How long has Sebastian been happy with his life?,Event Duration, 10 years
"Sebastian is very happy with his life, and shares this happiness with Kevin.",When did he share this happiness?,Typical Time, 12:00 PM
"Sebastian is very happy with his life, and shares this happiness with Kevin.",What happened after he was happy with Kevin?,Event Ordering, he was happy
Son is coming to see his parents' this weekend.,How often does he go to the store to see his parents?,Frequency, every week
Son is coming to see his parents' this weekend.,How long will it take to visit his parents' home?,Event Duration, 1 hour
Son is coming to see his parents' this weekend.,Is he still coming to see his parents tomorrow?,Stationarity, no
"Ola is in Cuba and is enjoying her trip. She has problems with connectivity there. Momo has recovered from her injury. Ola doesn't like the clothes in Cuba. Ola will try to find a blouse for mum in Cuba, as Kate suggested.",How many times a week does Ola go to Cuba?,Frequency, once
"Ola is in Cuba and is enjoying her trip. She has problems with connectivity there. Momo has recovered from her injury. Ola doesn't like the clothes in Cuba. Ola will try to find a blouse for mum in Cuba, as Kate suggested.",How long has Ola been in Cuba?,Event Duration, 1 week
"Ola is in Cuba and is enjoying her trip. She has problems with connectivity there. Momo has recovered from her injury. Ola doesn't like the clothes in Cuba. Ola will try to find a blouse for mum in Cuba, as Kate suggested.",When did Ola arrive to Cuba?,Typical Time, 12:00 PM
"Ola is in Cuba and is enjoying her trip. She has problems with connectivity there. Momo has recovered from her injury. Ola doesn't like the clothes in Cuba. Ola will try to find a blouse for mum in Cuba, as Kate suggested.",What happened after Ola found the clothes in Cuba?,Event Ordering, she bought them
Mike will ask Mary for John's new number.,How often does Mike ask Mary for John's number?,Frequency, once
Mike will ask Mary for John's new number.,How long will Mike ask Mary for John's number?,Event Duration, 1 minute
Mike will ask Mary for John's new number.,When did John ask Mary?,Typical Time, 12:00 PM
Mike will ask Mary for John's new number.,What happens after John asks Mary for John's number?,Event Ordering, john calls her
Mike will ask Mary for John's new number.,Is Mary still asking Mary for John's number tomorrow?,Stationarity, no
Joseph has sent Ella a photo of Wujek Janek's twin baby cows. Ella is delighted.,How often does Joseph send the photo?,Frequency, once
Joseph has sent Ella a photo of Wujek Janek's twin baby cows. Ella is delighted.,How long did it take to send the photo?,Event Duration, 1 minute
Joseph has sent Ella a photo of Wujek Janek's twin baby cows. Ella is delighted.,When did Joseph send the photo?,Typical Time, 1:00 PM
Joseph has sent Ella a photo of Wujek Janek's twin baby cows. Ella is delighted.,What happened after the photo was sent to the twin baby cows?,Event Ordering, they were given a treat
Josh thinks Stephen accidentally took his notebook. Jack has it and will bring it tomorrow.,How many times a week does he get the notebook?,Frequency, once
Josh thinks Stephen accidentally took his notebook. Jack has it and will bring it tomorrow.,How long did it take to get the notebook?,Event Duration, 10 minutes
Josh thinks Stephen accidentally took his notebook. Jack has it and will bring it tomorrow.,When did he get the notebook?,Typical Time, 12:00 PM
Josh thinks Stephen accidentally took his notebook. Jack has it and will bring it tomorrow.,What happened after the notebook was found?,Event Ordering, jack took it home
"Adele got a new biscuit Labrador Chewy that is 4 months. Her cats keep their distance, and Poppy and Lulu seem to mother Chewy and Speedy wants to play.",How many times a week does she get a new biscuit?,Frequency, once
"Adele got a new biscuit Labrador Chewy that is 4 months. Her cats keep their distance, and Poppy and Lulu seem to mother Chewy and Speedy wants to play.",How long did it take to prepare the new biscuit?,Event Duration, 10 minutes
"Adele got a new biscuit Labrador Chewy that is 4 months. Her cats keep their distance, and Poppy and Lulu seem to mother Chewy and Speedy wants to play.",When did they get the biscuits?,Typical Time, 12:00 PM
"Adele got a new biscuit Labrador Chewy that is 4 months. Her cats keep their distance, and Poppy and Lulu seem to mother Chewy and Speedy wants to play.",What did they do after they got the biscuit Labrador Chewy?,Event Ordering, they played with the chewy
Kristian and Tabora are playing a game about what they like best.,How often do they play a game about what they like?,Frequency, every week
Kristian and Tabora are playing a game about what they like best.,How long is the game?,Event Duration, 1 hour
Kristian and Tabora are playing a game about what they like best.,When did they play the game?,Typical Time, 1:00 PM
Kristian and Tabora are playing a game about what they like best.,What did they do after playing a game about what they like?,Event Ordering, they went home
Cathy will pick up her glasses tonight at 10.,How many times a week does Cathy pick up the glasses?,Frequency, once
Cathy will pick up her glasses tonight at 10.,How long will it take to pick up the glasses?,Event Duration, 10 minutes
Cathy will pick up her glasses tonight at 10.,When will Cathy pick up the glasses?,Typical Time, 10 pm
Cathy will pick up her glasses tonight at 10.,What time will she pick up the glasses?,Event Ordering, 10:00 PM
"Petra is very sleepy at work today, Andy finds the day boring, and Ezgi is working.",How many times a week does Ezgi go to work?,Frequency, 5 times
"Petra is very sleepy at work today, Andy finds the day boring, and Ezgi is working.",How long is the day?,Event Duration, 8 hours
"Petra is very sleepy at work today, Andy finds the day boring, and Ezgi is working.",When did Ezgi start work?,Typical Time, 10:00 AM
"Petra is very sleepy at work today, Andy finds the day boring, and Ezgi is working.",What did Ezgi do after work?,Event Ordering, went home
